Weather Disasters to affect the U.S. from 1980-2023 (CPI-Adjusted),,,,,,,,,,,,,,,,,,,,,,,
Name,Disaster,Disaster Group,Begin Date,Yb,Mb,Db,End Date,Ye,Me,De,Total CPI-Adjusted Cost (Millions of Dollars),Deaths,Durn (days),Durn (Weeks),Durn (Cal Mos),Central Day,Day of W_yr,MidPt Mo,W_Yr,W_Week,W_Mo,SeasNum,Season
Hurricane Opal (October 1995),Tropical Cyclone,Tropical Cyclone,10/4/1995,1995,10,4,10/6/1995,1995,10,6,9378,27,1,1,1,10/5/1995,278,10,1995,40,10,4,Fall
Blizzard/Floods (January 1996),Winter Storm,Winter/Freeze,1/1/1996,1996,1,1,1/31/1996,1996,1,31,5976.1,187,29,5,1,1/16/1996,16,1,1996,3,1,1,Winter
Pacific Northwest Severe Flooding (February 1996),Flooding,SevStorm/Flood,2/7/1996,1996,2,7,2/12/1996,1996,2,12,2006.5,9,4,1,1,2/9/1996,40,2,1996,6,2,1,Winter
Southern Plains Drought (Spring-Summer 1996),Drought,WF/Drought,3/1/1996,1996,3,1,8/31/1996,1996,8,31,3565,0,182,26,7,5/31/1996,152,5,1996,22,5,2,Spring
Hurricane Fran (September 1996),Tropical Cyclone,Tropical Cyclone,9/5/1996,1996,9,5,9/8/1996,1996,9,8,9763.8,37,2,1,1,9/6/1996,250,9,1996,36,9,4,Fall
New England Flooding (October 1996),Flooding,SevStorm/Flood,10/19/1996,1996,10,19,10/22/1996,1996,10,22,1318.3,1,2,1,1,10/20/1996,294,10,1996,42,10,4,Fall
West Coast Flooding (December 1996-January 1997),Flooding,SevStorm/Flood,1/1/1997,1997,1,1,1/11/1997,1997,1,11,5822.8,36,9,2,1,1/6/1997,6,1,1997,1,1,1,Winter
Mississippi and Ohio Valley Severe Weather and Flooding (March 1997),Severe Storm,SevStorm/Flood,2/28/1997,1997,2,28,3/5/1997,1997,3,5,1877,67,4,1,1,3/2/1997,61,3,1997,9,3,2,Spring
Northern Plains Flooding (Spring 1997),Flooding,SevStorm/Flood,2/3/1997,1997,2,3,5/24/1997,1997,5,24,7058.8,11,109,16,4,3/30/1997,89,3,1997,13,3,2,Spring
Northeast Ice Storm (January 1998),Winter Storm,Winter/Freeze,1/5/1998,1998,1,5,1/9/1998,1998,1,9,2663.4,16,3,1,1,1/7/1998,7,1,1998,1,1,1,Winter
Western/Eastern Severe Weather and Flooding (Winter-Spring 1998),Severe Storm,SevStorm/Flood,12/1/1997,1997,12,1,2/28/1998,1998,2,28,1908.5,132,88,13,3,1/14/1998,14,1,1998,2,1,1,Winter
Minnesota Severe Storms/Hail (May 1998),Severe Storm,SevStorm/Flood,5/15/1998,1998,5,15,5/15/1998,1998,5,15,3083.1,1,-1,0,0,5/15/1998,135,5,1998,20,5,2,Spring
"Northern Plains and Great Lakes Derecho, Tornadoes (June 1998)",Severe Storm,SevStorm/Flood,5/30/1998,1998,5,30,6/2/1998,1998,6,2,2151.7,20,2,1,1,5/31/1998,151,5,1998,22,5,2,Spring
Central and Eastern Severe Storms and Flooding (June 1998),Severe Storm,SevStorm/Flood,6/20/1998,1998,6,20,6/24/1998,1998,6,24,1680.7,12,3,1,1,6/22/1998,173,6,1998,25,6,3,Summer
Tropical Storm Frances (September 1998),Tropical Cyclone,Tropical Cyclone,8/8/1998,1998,8,8,8/13/1998,1998,8,13,1316,2,4,1,1,8/10/1998,222,8,1998,32,8,3,Summer
Hurricane Bonnie (August 1998),Tropical Cyclone,Tropical Cyclone,8/27/1998,1998,8,27,8/29/1998,1998,8,29,1842.4,3,1,1,1,8/28/1998,240,8,1998,35,8,3,Summer
Southern Drought and Heat Wave (Summer 1998),Drought,WF/Drought,6/1/1998,1998,6,1,8/31/1998,1998,8,31,6703.3,200,90,13,3,7/16/1998,197,7,1998,29,7,3,Summer
Hurricane Georges (September 1998),Tropical Cyclone,Tropical Cyclone,9/20/1998,1998,9,20,9/29/1998,1998,9,29,11250.9,16,8,2,1,9/24/1998,267,9,1998,39,9,4,Fall
Texas Flooding (October 1998),Flooding,SevStorm/Flood,10/16/1998,1998,10,16,10/24/1998,1998,10,24,1761.7,31,7,1,1,10/20/1998,293,10,1998,42,10,4,Fall
California Freeze (December 1998),Freeze,Winter/Freeze,12/20/1998,1998,12,20,12/28/1998,1998,12,28,4750,0,7,1,1,12/24/1998,-7,0,1999,-1,0,1,Winter
Central and Eastern Winter Storm (January 1999),Winter Storm,Winter/Freeze,1/1/1999,1999,1,1,1/4/1999,1999,1,4,1930.6,25,2,1,1,1/2/1999,2,1,1999,1,1,1,Winter
Central and Eastern Winter Storm (Mid-January 1999),Winter Storm,Winter/Freeze,1/13/1999,1999,1,13,1/16/1999,1999,1,16,1649.4,0,2,1,1,1/14/1999,14,1,1999,2,1,1,Winter
Oklahoma and Kansas Tornadoes (May 1999),Severe Storm,SevStorm/Flood,5/3/1999,1999,5,3,5/6/1999,1999,5,6,3722.6,55,2,1,1,5/4/1999,124,5,1999,18,5,2,Spring
Eastern Drought/Heat Wave (Summer 1999),Drought,WF/Drought,6/1/1999,1999,6,1,8/31/1999,1999,8,31,4673.1,502,90,13,3,7/16/1999,197,7,1999,29,7,3,Summer
Hurricane Floyd (September 1999),Tropical Cyclone,Tropical Cyclone,9/14/1999,1999,9,14,9/16/1999,1999,9,16,11878.5,77,1,1,1,9/15/1999,258,9,1999,37,9,4,Fall
Southeast Winter Storm (January 2000),Winter Storm,Winter/Freeze,1/21/2000,2000,1,21,1/24/2000,2000,1,24,1284.9,4,2,1,1,1/22/2000,22,1,2000,4,1,1,Winter
Southern Severe Weather (March 2000),Severe Storm,SevStorm/Flood,3/28/2000,2000,3,28,3/29/2000,2000,3,29,1235.1,0,0,0,0,3/28/2000,88,3,2000,13,3,2,Spring
Western Fire Season (Spring-Summer 2000),Wildfire,WF/Drought,3/1/2000,2000,3,1,8/31/2000,2000,8,31,1924.4,0,182,26,7,5/31/2000,152,5,2000,22,5,2,Spring
South Florida Flooding (October 2000),Flooding,SevStorm/Flood,10/3/2000,2000,10,3,10/4/2000,2000,10,4,1584,3,0,0,0,10/3/2000,277,10,2000,40,10,4,Fall
Western/Central/Southeast Drought/Heat Wave (Spring-Fall 2000),Drought,WF/Drought,3/1/2000,2000,3,1,11/30/2000,2000,11,30,9094.9,140,273,39,10,7/16/2000,198,7,2000,29,7,3,Summer
Midwest/Ohio Valley Hail and Tornadoes (April 2001),Severe Storm,SevStorm/Flood,4/6/2001,2001,4,6,4/11/2001,2001,4,11,5385.2,3,4,1,1,4/8/2001,98,4,2001,14,4,2,Spring
North Central Severe Weather (May 2001),Severe Storm,SevStorm/Flood,4/30/2001,2001,4,30,5/1/2001,2001,5,1,1167.6,0,0,0,0,4/30/2001,120,4,2001,18,4,2,Spring
Tropical Storm Allison (June 2001),Tropical Cyclone,Tropical Cyclone,6/5/2001,2001,6,5,6/17/2001,2001,6,17,14743.1,43,11,2,1,6/11/2001,162,6,2001,24,6,3,Summer
Severe Storms and Tornadoes (April 2002),Severe Storm,SevStorm/Flood,4/27/2002,2002,4,27,4/28/2002,2002,4,28,3580.3,7,0,0,0,4/27/2002,117,4,2002,17,4,2,Spring
Hurricane Lili (October 2002),Tropical Cyclone,Tropical Cyclone,8/1/2002,2002,8,1,8/5/2002,2002,8,5,1877.7,2,3,1,1,8/3/2002,215,8,2002,31,8,3,Summer
Tropical Storm Isidore (September 2002),Tropical Cyclone,Tropical Cyclone,9/25/2002,2002,9,25,9/27/2002,2002,9,27,1955,5,1,1,1,9/26/2002,269,9,2002,39,9,4,Fall
Eastern Tornadoes and Severe Storms (November 2002),Severe Storm,SevStorm/Flood,11/9/2002,2002,11,9,11/11/2002,2002,11,11,1216.9,28,1,1,1,11/10/2002,314,11,2002,45,11,4,Fall
Western Fire Season (Fall 2002),Wildfire,WF/Drought,9/1/2002,2002,9,1,11/30/2002,2002,11,30,2248.8,21,89,13,3,10/16/2002,289,10,2002,42,10,4,Fall
U.S. Drought (Spring-Fall 2002),Drought,WF/Drought,3/1/2002,2002,3,1,11/30/2002,2002,11,30,15581.1,0,273,39,10,7/16/2002,197,7,2002,29,7,3,Summer
Severe Storms/Hail (April 2003),Severe Storm,SevStorm/Flood,4/4/2003,2003,4,4,4/7/2003,2003,4,7,3350.5,3,2,1,1,4/5/2003,95,4,2003,14,4,2,Spring
Severe Storms/Tornadoes (May 2003),Severe Storm,SevStorm/Flood,5/3/2003,2003,5,3,5/10/2003,2003,5,10,6894.4,51,6,1,1,5/6/2003,126,5,2003,18,5,2,Spring
Midwest/Plains Severe Weather (July 2003),Severe Storm,SevStorm/Flood,7/4/2003,2003,7,4,7/9/2003,2003,7,9,1433,7,4,1,1,7/6/2003,187,7,2003,27,7,3,Summer
Southern Derecho and Eastern Severe Weather (July 2003),Severe Storm,SevStorm/Flood,7/21/2003,2003,7,21,7/23/2003,2003,7,23,1683.8,7,1,1,1,7/22/2003,203,7,2003,29,7,3,Summer
Hurricane Isabel (September 2003),Tropical Cyclone,Tropical Cyclone,9/18/2003,2003,9,18,9/19/2003,2003,9,19,9103.5,55,0,0,0,9/18/2003,261,9,2003,38,9,4,Fall
Western/Central Drought/Heat Wave (Spring-Fall 2003),Drought,WF/Drought,3/1/2003,2003,3,1,11/30/2003,2003,11,30,8480.1,35,273,39,10,7/16/2003,197,7,2003,29,7,3,Summer
California Wildfires (Fall 2003),Wildfire,WF/Drought,9/1/2003,2003,9,1,11/30/2003,2003,11,30,6458.1,22,89,13,3,10/16/2003,289,10,2003,42,10,4,Fall
"Severe Storms, Hail, Tornadoes (May 2004)",Severe Storm,SevStorm/Flood,5/21/2004,2004,5,21,5/27/2004,2004,5,27,1642.7,4,5,1,1,5/24/2004,145,5,2004,21,5,2,Spring
Colorado Hail Storms (June 2004),Severe Storm,SevStorm/Flood,6/8/2004,2004,6,8,6/9/2004,2004,6,9,1125.9,0,0,0,0,6/8/2004,160,6,2004,23,6,3,Summer
Hurricane Charley (August 2004),Tropical Cyclone,Tropical Cyclone,8/13/2004,2004,8,13,8/14/2004,2004,8,14,25919.2,35,0,0,0,8/13/2004,226,8,2004,33,8,3,Summer
Hurricane Frances (September 2004),Tropical Cyclone,Tropical Cyclone,9/3/2004,2004,9,3,9/9/2004,2004,9,9,15876,48,5,1,1,9/6/2004,250,9,2004,36,9,4,Fall
Hurricane Ivan (September 2004),Tropical Cyclone,Tropical Cyclone,9/12/2004,2004,9,12,9/21/2004,2004,9,21,33211,57,8,2,1,9/16/2004,260,9,2004,38,9,4,Fall
Hurricane Jeanne (September 2004),Tropical Cyclone,Tropical Cyclone,9/15/2004,2004,9,15,9/29/2004,2004,9,29,12144.6,28,13,2,1,9/22/2004,266,9,2004,38,9,4,Fall
